FEATURE;ASSIS CHATEAUBRIAND;ASTORGA;BARRACÃO;CAMPO LARGO;CAPANEMA;CASCAVEL;CORONEL VIVIDA;CURITIBA;FOZ DO IGUAÇU;GOIOERÊ;IRATI;IVAIPORÃ;JACAREZINHO;JAGUARIAÍVA;LONDRINA - CENTRO;PALMAS;PARANAGUÁ;PARANAVAÍ;PINHAIS;PITANGA;QUEDAS DO IGUAÇU;TELÊMACO BORBA;UMUARAMA;UNIÃO DA VITÓRIA;_TODOS_;MÉDIA
TEMP_MIN_ACC_MENS;0.009892063604294;0.00137596647982;0.005202817509849;0.002586390764096;0.001285451863522;0.004790256394022;0.002786925484207;0.001436899321404;0.006893164153391;0.009064558474339;0.001999396193415;0.001222626129951;0.001551646698124;0.002295803768917;0.007081696543416;0.008550294544551;0.036888622892556;0.014938831617546;0.001299270506415;0.00331756266229;0.001092546542079;0.001109755772408;0.007061406933739;0.001972861102;0.00170421769491;0.005496041346050438
LAG_08;0.000826137249974;0.001039675295486;0.009401998991651;0.004596258831879;0.002323781489821;0.001234918858491;0.001804172226328;0.004931209028956;0.005524021546911;0.002704085738691;0.00326143400904;0.001940461859485;0.004242149927615;0.004918238893862;0.000912125391999;0.002022881734012;0.00841299864619;0.004123700948598;0.004917245038186;0.004593848681084;0.046277256745666;0.003474385961219;0.004001988846617;0.001139334230894;0.002013140387603;0.0052254980224103196
LAG_03;0.000956459496549;0.004334482260401;0.005357221563244;0.00179865904064;0.003249994185576;0.003110976128456;0.00218989568137;0.001406356141648;0.005853053523374;0.009992578980843;0.002505418791434;0.011393244469383;0.0023900351205;0.002348077355269;0.002894030121631;0.005387246630482;0.002539158284898;0.003201535119284;0.002276541704458;0.011641287002626;0.00812852490157;0.008950468834924;0.005093535160402;0.002449917400896;0.004198565418447;0.004545890532732199
LAG_04;0.001653563933937;0.002740061531425;0.003279730685098;0.007810270741034;0.007206767584476;0.003435334693622;0.017216006512247;0.007373841611565;0.003972542588306;0.002214846477262;0.001527713172228;0.005608603002777;0.005819864235489;0.003259659289615;0.000658274572683;0.011067658745145;0.001581851997515;0.003178077607151;0.002212705630571;0.003311225452612;0.00573346260316;0.000744008218052;0.002566239300078;0.000566597861307;0.002284997717076;0.004280956230577239
TEMP_MÉD_ACC_MENS;0.02230690472661;0.000972852416957;0.003150029208971;0.003204002797788;0.000994829208178;0.001695911869786;0.002918730909972;0.003563895337302;0.005977633336177;0.003743608816791;0.007913984124095;0.002346769133893;0.001725496809009;0.001789498078442;0.00443061779464;0.0066536262116;0.003033410067845;0.008869250677321;0.003104331844299;0.002677521434933;0.000875255223793;0.001894631402978;0.00533151421419;0.002057671169949;0.002083147320269;0.004132604965431519
LAG_07;0.001282957278638;0.001606124164224;0.001307558265687;0.001658968309479;0.005497912403637;0.002759024671957;0.003238459902325;0.006989282296975;0.001012176065886;0.002589625490271;0.003919614247806;0.002171797931116;0.001055485349834;0.005817389512837;0.002554058554656;0.002348404870709;0.001943993448408;0.001837500024627;0.004880365983071;0.001853553578741;0.001379537342277;0.002004959237439;0.00307383359408;0.005416210390866;0.002526729843474;0.0028290209103608
MÊS_mar;0.002195077938562;0.000410019430033;0.000595989296534;0.000392981566095;0.006119851290736;0.006053009712018;0.001426686996601;0.000851113959695;0.006437045979735;0.001066181473585;0.002559844906249;0.006275383649751;0.000581782473094;0.000514657582664;0.000273696565614;0.008524229847766;0.002540196787352;0.00687537568154;0.001693204125996;0.000376702426675;0.000785233206081;0.000834027029292;0.000775370921466;8.204749114e-05;0.011433773479549;0.00278693935271292
TEMP_MIN_MAX_MENS;0.001267812511389;0.000978535167613;0.004926506255072;0.001727992719888;0.000842238456799;0.005499190087309;0.002643991152967;0.001146514431756;0.001447383520799;0.00288501361232;0.000477484462093;0.001268938277747;0.001959809216317;0.00032799073369;0.004905176283797;0.001796167831251;0.011652238891854;0.003161752725515;0.000944766652187;0.001001003573969;0.002096489381222;0.001051859506526;0.009873091133265;0.000483666820789;0.000999179721798;0.0026145917251172795
PRECIPITAÇÃO_MAX_MENS;0.002680121650928;0.003548482345709;0.002559849562466;0.002624843815249;0.001828261206599;0.001162039159998;0.010996846804847;0.003099445310753;0.001481726068948;0.001392105355644;0.00082126806284;0.003639632133943;0.001534467627215;0.002745065694491;0.002305723602564;0.002455052616619;0.001131867465554;0.001047218774934;0.002004693186956;0.00254924122006;0.00579765157965;0.002804572151218;0.002415099390988;0.001016831541017;0.00127193087764;0.0025965614882732004
LAG_09;0.001784069543124;0.002310517233791;0.003248935351929;0.00081020251293;0.002594728015572;0.000766321580794;0.005158572965271;0.004423184874714;0.002974333028714;0.002350882965451;0.002816426121534;0.001516010855168;0.001539377035114;0.001303338944255;0.001299342153498;0.001868732499525;0.002344561289248;0.007058792520021;0.005692681660763;0.001630655101677;0.000855369298975;0.001256740222376;0.002957467811978;0.002878780570624;0.001485052107705;0.00251700305059004
PRECIPITAÇÃO_ACC_MENS;0.000968932659342;0.001405174952216;0.001798848335971;0.004087366294047;0.00120067108075;0.001206691483942;0.002270213351781;0.00661176546606;0.001135599175927;0.00233919183398;0.000965061287554;0.002519516741218;0.006246986136591;0.003143574551521;0.00170759545832;0.002000878447782;0.000887902103768;0.001739206282796;0.002289111294053;0.002500933127656;0.003680242934552;0.005644303825564;0.003411816807198;0.001451535477767;0.001443863241042;0.00250627929405592
LAG_10;0.001407010518686;0.000984362292971;0.001122700218407;0.001113145790595;0.002573607322684;0.002090500991433;0.003000351303646;0.00376517094631;0.003507974304506;0.001408254620658;0.002381944072746;0.001320477559791;0.001558179837195;0.002043033760129;0.002213132937285;0.001476669135442;0.001527057344907;0.004264625661015;0.005599536010583;0.001032803709121;0.002853617757171;0.001943431134754;0.003450188884007;0.003028496261419;0.001853002744694;0.0023007710048062
TEMP_MÉD_MIN_MENS;0.001392031983929;0.001389201992335;0.003627663913787;0.001394906718585;0.002977759969021;0.001154933012953;0.002707014499951;0.003820168939132;0.001086349637204;0.001896848120625;0.00077089246695;0.001547739792088;0.000919212365473;0.000691271762236;0.007091776648132;0.001755188595894;0.001054693706279;0.005534490106564;0.002186709542105;0.000466131883472;0.00097969756769;0.001312413986636;0.003148742254006;0.000364399405331;0.000963948908853;0.0020093675111692395
TEMP_MIN_MIN_MENS;0.000992459717466;0.000630392334711;0.001262495495907;0.00141826003988;0.000714829825831;0.000926376114309;0.001169609986652;0.004092196869085;0.002314183711505;0.003949967441491;0.000972017294948;0.000816812564793;0.001796191390413;0.00086596950223;0.003145556937925;0.000794504799896;0.002040535103757;0.001370189175152;0.001029212669702;0.001800626280241;0.000478745093982;0.004431475522798;0.006107869629139;0.001573574935486;0.000553862768014;0.0018099166082125198
TEMP_MIN_MÉD_MENS;0.001297097826572;0.000830016604529;0.001208154976399;0.001796847344549;0.001924645379772;0.001058260059162;0.000608084097879;0.003333194759158;0.002540167285011;0.002636335661155;0.001303890185814;0.000721476448078;0.001862588624443;0.000995178420172;0.003923870586959;0.001039700364937;0.003360980815029;0.000866809400859;0.000635475742015;0.001492516525766;0.000283832696057;0.003091372261175;0.004473489412657;0.000897009172348;0.000689459213013;0.0017148181545403201
TEMP_MÉD_MÉD_MENS;0.003009523910795;0.000249647314449;0.001199173802915;0.000581676055728;0.001967907257881;0.001357565374021;0.000809671362179;0.000592210069979;0.00646921625004;0.007304252406812;0.00056965816444;0.000881765710804;0.000899975536182;0.000286259314141;0.001490677754503;0.002275256399675;0.001971850296094;0.001259388910439;0.002457603956082;0.001739455384799;0.000645650562477;0.000634137172786;0.00259534813344;0.000360394059424;0.000989117664041;0.00170389531296504
TEMP_MÉD_MAX_MENS;0.001222696068177;0.001393093623879;0.001724268671772;0.001415608100292;0.003128498235626;0.004217374919727;0.000393550273731;0.002282365678222;0.001208186436987;0.001284333686482;0.000410550058544;0.000660193689369;0.001955317916439;0.000428802767476;0.001026051938994;0.002387339637724;0.001857178417954;0.001520390369454;0.001635165257682;0.000291657116881;0.002562882675019;0.0008110719191;0.001575792771848;0.001951006633919;0.001109643420167;0.0015381208114185997
TEMP_MAX_MIN_MENS;0.000438165954707;0.001995972637073;0.00070586654425;0.000678472541186;0.001760155598675;0.000822668064163;0.000821396396453;0.001921325069765;0.001698875973648;0.002649120583538;0.000907925348106;0.000703376370954;0.003047238028903;0.000568659613941;0.002029492088022;0.001372320745954;0.000280178057241;0.000764694804608;0.000990503182544;0.000528502840689;0.000563264527231;0.004982184255708;0.002199995461616;0.001280277873246;0.000834001149389;0.0013817853484644003
TEMP_MAX_MAX_MENS;0.000679511628792;0.001791691903444;0.001670442366705;0.00054337083317;0.001181372582601;0.001240794199993;0.000658002233989;0.001540227079946;0.000928150941666;0.001738726653779;0.00100358702539;0.000485186181823;0.00173757064023;0.000369657239312;0.001154297559776;0.001154895563851;0.00116795499724;0.002144557652714;0.001526444407699;0.000635473231347;0.00075592422346;0.002671907301691;0.003751409389458;0.000749112723369;0.00079956981922;0.0012831935352266
TEMP_MAX_MÉD_MENS;0.001463572264269;0.001340948000587;0.000863415196706;0.000557275074121;0.001234332613912;0.000820532311389;0.000744024031833;0.001225890144785;0.000541076761664;0.001717338954507;0.000568266801972;0.000292993860619;0.002115314678014;0.000251525047348;0.00179986511666;0.002061638187939;0.000648746728368;0.000917938589883;0.00109914666586;0.00051014924906;0.001026638658538;0.003161958359932;0.003589962807892;0.002327981408259;0.000749703781453;0.0012652094118228
PRECIPITAÇÃO_MÉD_MENS;0.000701028643307;0.000727378345179;0.001051983186715;0.000762546891711;0.00055261744682;0.001088415179418;0.003658377013592;0.002485739459173;0.000347366901622;0.000692218917758;0.000441958938256;0.001512806182087;0.001480722611403;0.001194009314846;0.000471285441747;0.001339100608803;0.000848592270911;0.000544003322287;0.00094219390312;0.001313260531148;0.001768447299722;0.000925578187435;0.000749687543847;0.001267004847477;0.000495530910767;0.00109447415596604
FERIADO;0.000193649253387;0.000638054444932;0.00068534874883;0.000422394162628;0.003669443814299;0.000585129384288;0.002240830314012;0.000405558411284;0.002173533605656;0.000624082196902;0.000778130990884;0.001409336691359;0.000766238208206;0.000843567832478;0.000549194273417;0.001043228829525;0.002828251012529;0.001184771444874;0.000336279162405;0.000980323313;0.000368782471959;0.000579559425456;0.000473420563333;0.000657074061867;0.001737067723133;0.00104693001362572
DIA_DA_SEMANA_dom;0.001593029944972;0.001095943711775;0.000540087707186;0.000837457873105;0.000407219832515;0.000464366114906;0.002101160288135;0.000434290232581;0.00030128400896;0.000520258854856;0.000177980883307;0.002625303276253;0.000534122103669;0.002895139805441;0.000604959370512;0.000209426770368;0.000554850999017;0.000692814969666;0.000273820554659;0.001112361947724;0.000223689505655;0.000290727790676;0.000522419163624;0.000632484721526;0.004423143314332;0.0009627337498167999
ANO_2023;0.000408588254671;0.000501165482543;0.000595691158507;0.000627047186167;0.000129496768436;0.000207584396128;0.000132410798105;0.00027784428499;0.000945311182026;0.001236508946612;0.004991205726283;0.000112132352905;0.001532600359204;0.001475643497814;0.000151506957861;0.001671748207452;0.001175059338234;0.002577661755866;0.000291957258819;0.000627829993919;0.000131371459591;0.001537693537016;0.000505794239631;0.00100602961818;0.000879506953024;0.0009491755885593599
GREVE;0.000184047158763;5.7886487341e-05;0.001789780498389;0.005570704097948;0.001871062991135;0.001415441566836;4.9000533324e-05;0.000333012246868;4.4428299409e-05;0.000122917521884;0.000797857627939;5.257187934e-06;0.000251777593641;0.000890597739043;7.00072858e-06;5.546766436e-06;0.000149551445328;5.9605043923e-05;2.850276693e-06;0.00033222897773;0.00027966672176;0.000781279994287;4.8963382059e-05;0.002583762752193;0.004176215865248;0.00087241774018764
DIA_DA_SEMANA_seg;0.000323003795681;0.00028269490239;0.00044735594254;0.000938959045636;0.004770123644668;0.000337110726349;0.000725392864987;0.000503303459172;0.00086113943314;0.000719114731457;0.000122002809093;0.000379622470163;0.000398787693258;0.000255019132196;0.001235758906196;0.00047611646376;0.001304283554851;0.00053990936516;0.000975347495753;0.000343385537728;0.000430768033977;0.001159502245223;0.001806410659729;0.001055247424558;0.00107345922175;0.0008585527823766
MÊS_jan;0.00074830835741;0.000926228094786;0.000608583939049;0.003511009011541;9.608221839e-05;0.001034098716795;0.000257720379587;0.000108184690776;0.00071614821785;0.000981437133863;0.000392102409426;0.000523676243965;0.000266745030544;0.00034338541689;0.000178970599185;0.001388207105755;0.000942719114182;0.001758687370067;0.000412541837539;0.000300126093283;0.001097551407535;0.000284877796519;0.001587957004111;0.000552709552554;0.000411052991925;0.00077716442934108
ANO_2021;6.6456908524e-05;7.4135163726e-05;0.002109542990094;0.000266428658127;0.00076196110523;0.000157271868122;0.002883958625439;0.000814893134905;0.000109115837983;9.5738311063e-05;0.000104498651709;2.5030463419e-05;0.002974785281652;6.695925674e-05;0.000110831907266;0.000121148459145;0.000107643559028;3.8504870544e-05;0.006524472542722;0.001175582037807;2.4749185118e-05;3.9626600262e-05;1.4043053429e-05;0.000100146667443;0.000166569989698;0.0007573638051677997
ANO_2020;0.000749718899833;0.001861263235001;0.000189755078664;0.00178228330818;0.000311751957256;1.9538465677e-05;0.000124049672404;0.000140895682372;0.000153669218064;0.000274051351399;0.000197076995405;0.000374160885753;0.004560501489068;5.0122832272e-05;0.000276436967829;0.000987218125272;0.000513691076263;0.001154186542665;0.000905668674179;9.0105749012e-05;0.000148667728562;0.000316610641743;0.000446104262315;0.000309927213267;0.001214649665703;0.00068608422872632
DIA_DA_SEMANA_qui;0.000494581129791;0.000303757284564;0.000229093436067;0.001711449780469;0.00159194747531;0.000404922665304;0.000253587363103;0.001576767381753;0.000269683727017;0.00089233759192;0.000385796454415;0.000924013480513;0.000359260862011;0.000579747373086;0.001241983918055;0.000612809321422;0.000712846927642;0.000466365078046;0.000797119495094;0.000768172076066;0.000451024097648;0.000192616692822;0.000359742704077;0.000373425052674;0.000973815368801;0.0006770746695068
ANO_2019;0.000859747313361;0.000337360364727;9.1997049213e-05;9.2173442471e-05;0.000556928987505;7.8885530422e-05;0.00019761658871;0.001100903174132;0.000384023001565;0.001006338136645;0.000760495516809;0.000240352055051;0.000281904086974;0.000333723029127;0.002522852669669;0.002133726637636;0.000128440171521;9.6614847974e-05;0.000386278838836;0.000209641404339;0.004355626577363;0.000137321438547;0.000110744124316;0.000140705718516;0.000126996157749;0.0006668558745271199
ANO_2022;0.000531950584149;0.000548065919122;0.000112446995838;7.7256084176e-05;0.000127703701979;5.0702687364e-05;0.002961504487023;0.000368339285692;0.000561899139012;0.001195540016335;3.195920267e-05;0.000144978413797;0.000108580447465;4.1281564735e-05;0.000212747909745;0.000960947786441;0.000198997885778;0.001383950771826;0.004084780042192;0.000396515576777;0.000462763779408;0.000294678534452;0.000488325284822;6.3903715483e-05;0.000199669404728;0.00062437956884036
