FEATURE;ASSIS CHATEAUBRIAND;ASTORGA;BARRACÃO;CAMPO LARGO;CAPANEMA;CASCAVEL;CORONEL VIVIDA;CURITIBA;FOZ DO IGUAÇU;GOIOERÊ;IRATI;IVAIPORÃ;JACAREZINHO;JAGUARIAÍVA;LONDRINA - CENTRO;PALMAS;PARANAGUÁ;PARANAVAÍ;PINHAIS;PITANGA;QUEDAS DO IGUAÇU;TELÊMACO BORBA;UMUARAMA;UNIÃO DA VITÓRIA;MÉDIA;TODOS;MÉDIA FINAL
PRECIPITAÇÃO_ACC_MENS;0.000996637648919;0.001612467471792;0.001747682606658;0.005675053322049;0.002002565266428;0.001767916879184;0.002133517677292;0.008544526577817;0.000648880711612;0.001856106798025;0.001347923646024;0.002865823714812;0.003787516633028;0.002420103839472;0.001263213276559;0.002194147294925;0.001182988535168;0.00163399858957;0.002606029671942;0.001807622254506;0.001653815580148;0.004685335756712;0.002480105600871;0.002544097019764;0.0024774198488865416;0.001172104884794;0.0018247623668402708
PRECIPITAÇÃO_MAX_MENS;0.001913852550381;0.003546129372438;0.002102698969799;0.00183532082496;0.001340152752132;0.001788466149267;0.007089867681149;0.002067544942001;0.001504332264963;0.001447684734373;0.000817019937443;0.003220408282662;0.00245255870184;0.003439634809526;0.002493809027526;0.001096770998929;0.001080479577405;0.001075125687423;0.00246030462779;0.002246116215722;0.00501700118597;0.002565425554083;0.002300596411094;0.001275438463168;0.0023406974884184997;0.00123395547681;0.0017873264826142499
MÊS_mar;0.001004764709387;0.000122269931476;0.000509800227026;0.000226417358284;0.010120292336355;0.003854634519681;0.001284050164175;0.000745089757285;0.007631332335373;0.000837543254227;0.001600540701446;0.005784700789764;0.000880099443755;0.000584749910554;0.000376138390296;0.004534243076265;0.005373897459138;0.004731272497787;0.000837894116251;0.000311407442948;0.000935086094337;0.00091787523567;0.001673278807816;0.000194001626463;0.002294640841073292;0.012568765175288;0.007431703008180646
TEMP_MIN_MAX_MENS;0.001025441459726;0.00095109254236;0.003885293921768;0.001908449127136;0.000658629648116;0.004772265561187;0.001616166880075;0.000490886569921;0.000923480795821;0.004708177869033;0.000460948899083;0.001130169428006;0.004511105668471;0.000306375745233;0.004816878441597;0.002308275149615;0.007455528869229;0.003695673235936;0.000492086923792;0.000374447409706;0.002681572962272;0.000887611370337;0.003756140085795;0.000698798022998;0.002271479024467208;0.000849019612011;0.001560249318239104
TEMP_MÉD_MIN_MENS;0.001917555389758;0.001278027994068;0.00485761328352;0.001760151507849;0.004431894213927;0.000483634079868;0.001482795503771;0.004636317093983;0.001745450046886;0.003373117377583;0.000566818833205;0.001256325947878;0.00099783420956;0.000984164328592;0.006924990179226;0.002814220471205;0.001049327022677;0.004241719144481;0.002840429791411;0.000666379041684;0.000740608307045;0.001048168034447;0.002144518035476;0.000482895643459;0.0021968731450649585;0.000969668014366;0.0015832705797154793
TEMP_MIN_MÉD_MENS;0.001555082880554;0.000649016127534;0.001279740999468;0.001202210705858;0.001922877565101;0.001001831818018;0.000993895747577;0.002774653359646;0.002203289169711;0.003732471588453;0.000733094663329;0.001167583764573;0.001150467532868;0.001380203488205;0.004403903121161;0.001350793686456;0.002640573297128;0.000654209016089;0.000559596562819;0.001293774162497;0.000614381488129;0.003974346422386;0.004627996597672;0.000583614528751;0.0017687336789159577;0.000605762567473;0.0011872481231944788
TEMP_MIN_MIN_MENS;0.000867991326923;0.000495979665649;0.001126267939667;0.00144397247837;0.001278688544602;0.000924637519356;0.000732631640892;0.004325645115381;0.004201275688345;0.00281033177866;0.000856386066852;0.000958877251301;0.001206538959517;0.000667398039216;0.002962067473744;0.000969768642583;0.00237290514308;0.001346524473313;0.001389794090939;0.001182920358011;0.000313290796576;0.003939563034314;0.003422416512054;0.001129522632778;0.0017052247988384582;0.000558219980538;0.001131722389688229
TEMP_MÉD_MÉD_MENS;0.001447190763016;0.000536117654361;0.001503681839728;0.002045214534877;0.001940869712733;0.000665479623076;0.000530420302304;0.000889583778637;0.001459496313431;0.007392959140136;0.002196953753878;0.001203045791039;0.000835590848197;0.000773785199411;0.002294347170084;0.002290496679599;0.001959287009765;0.001045207970836;0.001298454219715;0.002851838066167;0.000224722913599;0.000359817328634;0.001700547489402;0.000618626888034;0.0015859889579441248;0.000874192734006;0.0012300908459750624
TEMP_MÉD_MAX_MENS;0.000829359233741;0.000809384855613;0.002092838436692;0.001272882292645;0.00130859379341;0.002581586650671;0.00108198894907;0.002635085061769;0.001360264338284;0.001229502051227;0.000407100764414;0.00087115161762;0.002438899484072;0.00031414965066;0.002087558354407;0.001392627540138;0.001537810272536;0.001659346038264;0.001813636115749;0.000429337843578;0.002908510912592;0.001912117499628;0.001490588766274;0.002511467229747;0.0015406578230333751;0.001069226415146;0.0013049421190896877
TEMP_MAX_MÉD_MENS;0.001093356071453;0.002244658865187;0.000797863829551;0.000638889884918;0.001121536269531;0.000524750545225;0.000683516000597;0.000852969932421;0.000535291371237;0.002575486853142;0.000576568269375;0.000792347063459;0.005005985308703;0.000436357516897;0.001598076954723;0.002000840179257;0.00089086466695;0.001705432917468;0.001108741341777;0.000463604431331;0.000758286256666;0.003829393222647;0.004474582195252;0.000777048621932;0.0014786020237374583;0.000895770076775;0.001187186050256229
