;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
350;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
351;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
352;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
353;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
354;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
355;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
356;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
357;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
358;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
359;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
360;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
361;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
362;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
363;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
364;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
365;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
366;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
367;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
368;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
369;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
370;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
371;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
372;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
373;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
374;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
375;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
376;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
377;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
378;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
379;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
380;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
381;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
382;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
383;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
384;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
385;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
386;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
387;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
388;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
389;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
390;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
391;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
392;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
393;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
394;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
395;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
396;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
397;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
398;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
399;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
400;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
401;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
402;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
403;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
404;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
405;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
406;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
407;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
408;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
