CAMPUS;Nome do Curso;Grau;Modalidade;Situação do Curso;Qt. Vagas Autorizadas;Integralização - Turno Integral (ANOS);Quantitativo de Vagas - Integral;Integralização - Turno Matutino (ANOS);Quantitativo de Vagas - Matutino;Integralização - Turno Vespertino (ANOS);Quantitativo de Vagas - Vespertino;Integralização - Turno Noturno (ANOS);Quantitativo de Vagas - Noturno;Início Funcionamento;Fim Funcionamento
COLOMBO;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;07/02/2019;
JACAREZINHO;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;Bacharelado;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;40.0;06/02/2018;
CURITIBA;SECRETARIADO;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;40.0;06/02/2017;
IVAIPORÃ;SISTEMAS DE INFORMAÇÃO;Bacharelado;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;07/02/2019;
UMUARAMA;QUÍMICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;07/02/2019;
COLOMBO;ALIMENTOS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2019;
PALMAS;ARTES VISUAIS;Licenciatura;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;09/02/2009;
PARANAGUÁ;GESTÃO AMBIENTAL;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;40.0;06/02/2018;
UMUARAMA;GESTÃO DO AGRONEGÓCIO;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2017;
BARRACÃO;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
FOZ DO IGUAÇU;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;03/02/2014;
PARANAGUÁ;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;3.0;40.0;0.0;0.0;0.0;0.0;08/12/2014;
TELÊMACO BORBA;AUTOMAÇÃO INDUSTRIAL;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;09/02/2015;
PALMAS;ENFERMAGEM;Bacharelado;Educação Presencial;Em atividade;50.0;5.0;40.0;0.0;0.0;5.0;0.0;5.0;0.0;21/02/2005;
PARANAVAÍ;QUÍMICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;03/02/2014;
CURITIBA;MASSOTERAPIA;Tecnológico;Educação Presencial;Em atividade;35.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;35.0;06/02/2019;
IRATI;AGRONOMIA;Bacharelado;Educação Presencial;Em atividade;80.0;0.0;0.0;5.0;40.0;5.0;40.0;0.0;0.0;01/02/2019;
PITANGA;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
JACAREZINHO;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
PARANAGUÁ;MANUTENÇÃO INDUSTRIAL;Tecnológico;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;01/02/2011;
FOZ DO IGUAÇU;GASTRONOMIA;Tecnológico;Educação Presencial;Em atividade;44.0;2.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2020;
CAMPO LARGO;PROCESSOS GERENCIAIS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;40.0;09/08/2021;
ASSIS CHATEAUBRIAND;CIÊNCIAS BIOLÓGICAS ;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;09/02/2015;
QUEDAS DO IGUAÇU;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
PITANGA;QUÍMICA;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;06/02/2018;
PALMAS;QUÍMICA;Licenciatura;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;50.0;18/02/2003;
ASSIS CHATEAUBRIAND;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;36.0;09/02/2015;
TELÊMACO BORBA;MANUTENÇÃO INDUSTRIAL;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2020;
ASSIS CHATEAUBRIAND;GESTÃO COMERCIAL;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;40.0;06/02/2020;
CURITIBA;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
CURITIBA;PROCESSOS GERENCIAIS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;40.0;07/02/2019;
PALMAS;DIREITO;Bacharelado;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;40.0;21/02/2005;
UMUARAMA;CIÊNCIAS BIOLÓGICAS ;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;09/02/2015;
UMUARAMA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2018;
FOZ DO IGUAÇU;ENGENHARIA DE AQUICULTURA;Bacharelado;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;40.0;06/02/2017;
IRATI;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;09/02/2015;
LONDRINA - NORTE;CIÊNCIAS BIOLÓGICAS ;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;28/07/2022;
LONDRINA - NORTE;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;3.0;40.0;0.0;0.0;0.0;0.0;28/07/2022;
LONDRINA - CENTRO;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
PITANGA;AGROINDÚSTRIA;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2019;
PALMAS;CIÊNCIAS BIOLÓGICAS ;Licenciatura;Educação Presencial;Em atividade;50.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;18/02/2003;
PARANAVAÍ;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;03/02/2014;
PARANAGUÁ;CIÊNCIAS SOCIAIS;Licenciatura;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;40.0;13/02/2012;
CORONEL VIVIDA;SEGURANÇA PÚBLICA;Tecnológico;Educação a Distância;Em atividade;350.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22/11/2018;
PINHAIS;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Tecnológico;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;40.0;06/02/2020;
CAMPO LARGO;ESPECIALIZAÇÃO LATO SENSU EM GESTÃO EMPRESARIAL;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2019;
LONDRINA - CENTRO;ESPECIALIZAÇÃO LATO SENSU EM PRÁTICAS INTERDISCIPLINARES PARA O ENSINO DE CIÊNCIAS;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2020;27/07/2022
LONDRINA - NORTE;ESPECIALIZAÇÃO LATO SENSU EM SAÚDE COLETIVA COM ÊNFASE NA PROMOÇÃO DA SAÚDE;Especialização;Educação Presencial;Em atividade;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2023;
PITANGA;ESPECIALIZAÇÃO LATO SENSU EM INTERDISCIPLINARIDADE E DOCÊNCIA NA EDUCAÇÃO BÁSICA;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2017;
ASTORGA;ESPECIALIZAÇÃO LATO SENSU EM DOCÊNCIA PARA A EDUCAÇÃO BÁSICA;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2022;
CASCAVEL;ESPECIALIZAÇÃO LATO SENSU EM EDUCAÇÃO, TECNOLOGIA E SOCIEDADE;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2018;
TELÊMACO BORBA;ESPECIALIZAÇÃO LATO SENSU EM ENSINO DE CIÊNCIA E TECNOLOGIA;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2017;
ASSIS CHATEAUBRIAND;ESPECIALIZAÇÃO LATO SENSU EM GESTÃO ESCOLAR;Especialização;Educação Presencial;Em atividade;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2014;
ASSIS CHATEAUBRIAND;ESPECIALIZAÇÃO LATO SENSU EM ENSINO DE CIÊNCIAS E MATEMÁTICA;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2017;
ASSIS CHATEAUBRIAND;ESPECIALIZAÇÃO LATO SENSU EM GOVERNANÇA CORPORATIVA E SUSTENTABILIDADE;Especialização;Educação Presencial;Em atividade;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2017;
ARAPONGAS;ESPECIALIZAÇÃO LATO SENSU EM DOCÊNCIA E PRÁTICAS EDUCATIVAS;Especialização;Educação Presencial;Em atividade;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2024;
PINHAIS;ESPECIALIZAÇÃO LATO SENSU EM DESENVOLVIMENTO DE SISTEMAS WEB E MOBILE;Especialização;Educação Presencial;Em atividade;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;01/02/2020;
