"CAMPUS";"REGIÃO";"TESTE";"VALOR.DO.TESTE";"VALOR.CRÍTICO";"CONCLUSÃO"
"PITANGA";"REGIÃO CENTRAL";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
"QUEDAS DO IGUAÇU";"REGIÃO OESTE";"KPSS";0.124744874344901;0.146;"Não possui raiz unitária - Estacionário"
"QUEDAS DO IGUAÇU";"REGIÃO OESTE";"Man Kenndall";0.831740539009198;0.05;"Possui tendência"
"QUEDAS DO IGUAÇU";"REGIÃO OESTE";"Kruskal Wallis";0.479354768398572;0.05;"Não possui Sazonalidade"
"TELÊMACO BORBA";"REGIÃO CENTRAL";"KPSS";0.345722596272626;0.146;"Possui raiz unitária - Não Estacionário"
"TELÊMACO BORBA";"REGIÃO CENTRAL";"Man Kenndall";0.0488543561278064;0.05;"Não possui tendência"
"TELÊMACO BORBA";"REGIÃO CENTRAL";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
"UMUARAMA";"REGIÃO OESTE";"KPSS";0.186919591855019;0.146;"Possui raiz unitária - Não Estacionário"
"UMUARAMA";"REGIÃO OESTE";"Man Kenndall";0.0858561752385681;0.05;"Possui tendência"
"UMUARAMA";"REGIÃO OESTE";"Kruskal Wallis";0.481817435826871;0.05;"Não possui Sazonalidade"
"UNIÃO DA VITÓRIA";"REGIÃO SUL";"KPSS";0.399582757099541;0.146;"Possui raiz unitária - Não Estacionário"
"UNIÃO DA VITÓRIA";"REGIÃO SUL";"Man Kenndall";6.76386953144061e-10;0.05;"Não possui tendência"
"UNIÃO DA VITÓRIA";"REGIÃO SUL";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
