DATA;CAMPUS;CONSUMO
2023-09-18;ARAPONGAS;6.793103448275862
2023-09-19;ARAPONGAS;6.793103448275862
2023-09-20;ARAPONGAS;6.793103448275862
2023-09-21;ARAPONGAS;6.793103448275862
2023-09-22;ARAPONGAS;6.793103448275862
2023-09-23;ARAPONGAS;6.793103448275862
2023-09-24;ARAPONGAS;6.793103448275862
2023-09-25;ARAPONGAS;6.793103448275862
2023-09-26;ARAPONGAS;6.793103448275862
2023-09-27;ARAPONGAS;6.793103448275862
2023-09-28;ARAPONGAS;6.793103448275862
2023-09-29;ARAPONGAS;6.793103448275862
2023-09-30;ARAPONGAS;6.793103448275862
2023-10-01;ARAPONGAS;6.793103448275862
2023-10-02;ARAPONGAS;6.793103448275862
2023-10-03;ARAPONGAS;6.793103448275862
2023-10-04;ARAPONGAS;6.793103448275862
2023-10-05;ARAPONGAS;6.793103448275862
2023-10-06;ARAPONGAS;6.793103448275862
2023-10-07;ARAPONGAS;6.793103448275862
2023-10-08;ARAPONGAS;6.793103448275862
2023-10-09;ARAPONGAS;6.793103448275862
2023-10-10;ARAPONGAS;6.793103448275862
2023-10-11;ARAPONGAS;6.793103448275862
2023-10-12;ARAPONGAS;7.2
2023-10-13;ARAPONGAS;7.2
2023-10-14;ARAPONGAS;7.2
2023-10-15;ARAPONGAS;7.2
2023-10-16;ARAPONGAS;7.2
2023-10-17;ARAPONGAS;7.2
2023-10-18;ARAPONGAS;7.2
2023-10-19;ARAPONGAS;7.2
2023-10-20;ARAPONGAS;7.2
2023-10-21;ARAPONGAS;7.2
2023-10-22;ARAPONGAS;7.2
2023-10-23;ARAPONGAS;7.2
2023-10-24;ARAPONGAS;7.2
2023-10-25;ARAPONGAS;7.2
2023-10-26;ARAPONGAS;7.2
2023-10-27;ARAPONGAS;7.2
2023-10-28;ARAPONGAS;7.2
2023-10-29;ARAPONGAS;7.2
2023-10-30;ARAPONGAS;7.2
2023-10-31;ARAPONGAS;7.2
2023-11-01;ARAPONGAS;7.2
2023-11-02;ARAPONGAS;7.2
2023-11-03;ARAPONGAS;7.2
2023-11-04;ARAPONGAS;7.2
2023-11-05;ARAPONGAS;7.2
2023-11-06;ARAPONGAS;7.2
2023-11-07;ARAPONGAS;7.2
2023-11-08;ARAPONGAS;7.2
2023-11-09;ARAPONGAS;7.2
2023-11-10;ARAPONGAS;7.2
2023-11-11;ARAPONGAS;4.625
2023-11-12;ARAPONGAS;4.625
