NO_CURSO;NO_TIPO_CURSO;NO_MODALIDADE;NO_TIPO_OFERTA;CAMPUS;DATA INICIO;DATA FIM
TÉCNICO EM DESIGN DE MÓVEIS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;24/05/2010;18/08/2017
TÉCNICO EM EDIFICAÇÕES;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UMUARAMA;14/03/2016;31/12/2028
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;UMUARAMA;24/05/2010;21/07/2012
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UMUARAMA;09/02/2015;31/12/2028
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;24/05/2010;10/08/2018
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM ORIENTAÇÃO COMUNITÁRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;14/03/2011;22/08/2014
TÉCNICO EM QUÍMICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UMUARAMA;13/02/2012;31/12/2028
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UNIÃO DA VITÓRIA;14/12/2015;22/12/2017
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UNIÃO DA VITÓRIA;23/02/2015;16/12/2026
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UNIÃO DA VITÓRIA;26/07/2016;23/12/2019
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UNIÃO DA VITÓRIA;07/02/2019;06/12/2202
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UNIÃO DA VITÓRIA;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UNIÃO DA VITÓRIA;14/12/2015;22/12/2017
