NO_CURSO;NO_TIPO_CURSO;NO_MODALIDADE;NO_TIPO_OFERTA;CAMPUS;DATA INICIO;DATA FIM
TÉCNICO EM AUTOMAÇÃO INDUSTRIAL;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAMPO LARGO;15/02/2016;17/12/2027
TÉCNICO EM CERÂMICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CAMPO LARGO;01/08/2013;14/04/2023
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAMPO LARGO;06/02/2014;23/12/2022
TÉCNICO EM ELETROTÉCNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CAMPO LARGO;01/03/2010;22/12/2020
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAMPO LARGO;05/12/2022;05/12/2024
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAMPO LARGO;06/02/2020;17/12/2027
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CAMPO LARGO;01/03/2010;19/12/2025
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAMPO LARGO;05/12/2022;05/12/2024
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAMPO LARGO;19/09/2010;17/12/2012
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAPANEMA;21/11/2017;31/12/2019
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAPANEMA;02/12/2015;31/12/2017
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAPANEMA;06/02/2018;30/12/2026
TÉCNICO EM COOPERATIVISMO;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAPANEMA;07/02/2015;30/12/2027
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CAPANEMA;06/02/2017;30/12/2026
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAPANEMA;05/12/2022;05/12/2024
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAPANEMA;22/11/2017;05/12/2024
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAPANEMA;14/12/2015;31/12/2019
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CAPANEMA;14/12/2015;31/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CASCAVEL;14/12/2015;01/07/2018
TÉCNICO EM ANÁLISES QUÍMICAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CASCAVEL;15/02/2016;31/12/2023
TÉCNICO EM EDIFICAÇÕES;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CASCAVEL;06/02/2020;31/12/2026
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CASCAVEL;18/03/2013;31/12/2026
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CASCAVEL;23/02/2011;19/12/2014
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CASCAVEL;26/02/2019;18/12/2020
TÉCNICO EM QUÍMICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CASCAVEL;03/03/2022;31/12/2026
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CASCAVEL;14/12/2015;30/04/2018
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;COLOMBO;25/04/2016;29/10/2021
