DATA;CAMPUS;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS
2024-07-26;CORONEL VIVIDA;0;0;1;0
2024-07-27;CORONEL VIVIDA;0;0;1;0
2024-07-28;CORONEL VIVIDA;0;0;1;0
2024-07-29;CORONEL VIVIDA;0;0;1;0
2024-07-30;CORONEL VIVIDA;0;0;1;0
2024-07-31;CORONEL VIVIDA;0;0;1;0
2024-08-01;CORONEL VIVIDA;0;0;1;0
2024-08-02;CORONEL VIVIDA;0;0;1;0
2024-08-03;CORONEL VIVIDA;0;0;1;0
2024-08-04;CORONEL VIVIDA;0;0;1;0
2024-08-05;CORONEL VIVIDA;0;0;1;0
2024-08-06;CORONEL VIVIDA;0;0;1;0
2024-08-07;CORONEL VIVIDA;0;0;1;0
2024-08-08;CORONEL VIVIDA;0;0;1;0
2024-08-09;CORONEL VIVIDA;0;0;1;0
2024-08-10;CORONEL VIVIDA;0;0;1;0
2024-08-11;CORONEL VIVIDA;0;0;1;0
2024-08-12;CORONEL VIVIDA;0;0;1;0
2024-08-13;CORONEL VIVIDA;0;0;1;0
2024-08-14;CORONEL VIVIDA;0;0;1;0
2024-08-15;CORONEL VIVIDA;0;0;1;0
2024-08-16;CORONEL VIVIDA;0;0;1;0
2024-08-17;CORONEL VIVIDA;0;0;1;0
2024-08-18;CORONEL VIVIDA;0;0;1;0
2024-08-19;CORONEL VIVIDA;0;0;1;0
2024-08-20;CORONEL VIVIDA;0;0;1;0
2024-08-21;CORONEL VIVIDA;0;0;1;0
2024-08-22;CORONEL VIVIDA;0;0;1;0
2024-08-23;CORONEL VIVIDA;0;0;1;0
2024-08-24;CORONEL VIVIDA;0;0;1;0
2024-08-25;CORONEL VIVIDA;0;0;1;0
2024-08-26;CORONEL VIVIDA;0;0;1;0
2024-08-27;CORONEL VIVIDA;0;0;1;0
2024-08-28;CORONEL VIVIDA;0;0;1;0
2024-08-29;CORONEL VIVIDA;0;0;1;0
2024-08-30;CORONEL VIVIDA;0;0;1;0
2024-08-31;CORONEL VIVIDA;0;0;1;0
2024-09-01;CORONEL VIVIDA;0;0;1;0
2024-09-02;CORONEL VIVIDA;0;0;1;0
2024-09-03;CORONEL VIVIDA;0;0;1;0
2024-09-04;CORONEL VIVIDA;0;0;1;0
2024-09-05;CORONEL VIVIDA;0;0;1;0
2024-09-06;CORONEL VIVIDA;0;0;1;0
2024-09-07;CORONEL VIVIDA;0;0;1;0
2024-09-08;CORONEL VIVIDA;0;0;1;0
2024-09-09;CORONEL VIVIDA;0;0;1;0
2024-09-10;CORONEL VIVIDA;0;0;1;0
2024-09-11;CORONEL VIVIDA;0;0;1;0
2024-09-12;CORONEL VIVIDA;0;0;1;0
2024-09-13;CORONEL VIVIDA;0;0;1;0
2024-09-14;CORONEL VIVIDA;0;0;1;0
2024-09-15;CORONEL VIVIDA;0;0;1;0
2024-09-16;CORONEL VIVIDA;0;0;1;0
2024-09-17;CORONEL VIVIDA;0;0;1;0
2024-09-18;CORONEL VIVIDA;0;0;1;0
2024-09-19;CORONEL VIVIDA;0;0;1;0
2024-09-20;CORONEL VIVIDA;0;0;1;0
2024-09-21;CORONEL VIVIDA;0;0;1;0
