DATA;CAMPUS;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS
2024-07-22;ARAPONGAS;0;0;0;1
2024-07-23;ARAPONGAS;0;0;0;1
2024-07-24;ARAPONGAS;0;0;0;1
2024-07-25;ARAPONGAS;0;0;0;1
2024-07-26;ARAPONGAS;0;0;0;1
2024-07-27;ARAPONGAS;0;0;0;1
2024-07-28;ARAPONGAS;0;0;0;1
2024-07-29;ARAPONGAS;0;0;0;1
2024-07-30;ARAPONGAS;0;0;0;1
2024-07-31;ARAPONGAS;0;0;0;1
2024-08-01;ARAPONGAS;0;0;0;1
2024-08-02;ARAPONGAS;0;0;0;1
2024-08-03;ARAPONGAS;0;0;0;1
2024-08-04;ARAPONGAS;0;0;0;1
2024-08-05;ARAPONGAS;0;0;0;1
2024-08-06;ARAPONGAS;0;0;0;1
2024-08-07;ARAPONGAS;0;0;0;1
2024-08-08;ARAPONGAS;0;0;0;1
2024-08-09;ARAPONGAS;0;0;0;1
2024-08-10;ARAPONGAS;0;0;0;1
2024-08-11;ARAPONGAS;0;0;0;1
2024-08-12;ARAPONGAS;0;0;0;1
2024-08-13;ARAPONGAS;0;0;0;1
2024-08-14;ARAPONGAS;0;0;0;1
2024-08-15;ARAPONGAS;0;0;0;1
2024-08-16;ARAPONGAS;0;0;0;1
2024-08-17;ARAPONGAS;0;0;0;1
2024-08-18;ARAPONGAS;0;0;0;1
2024-08-19;ARAPONGAS;0;0;0;1
2024-08-20;ARAPONGAS;0;0;0;1
2024-08-21;ARAPONGAS;0;0;0;1
2024-08-22;ARAPONGAS;0;0;0;1
2024-08-23;ARAPONGAS;0;0;0;1
2024-08-24;ARAPONGAS;0;0;0;1
2024-08-25;ARAPONGAS;0;0;0;1
2024-08-26;ARAPONGAS;0;0;0;1
2024-08-27;ARAPONGAS;0;0;0;1
2024-08-28;ARAPONGAS;0;0;0;1
2024-08-29;ARAPONGAS;0;0;0;1
2024-08-30;ARAPONGAS;0;0;0;1
2024-08-31;ARAPONGAS;0;0;0;1
2024-09-01;ARAPONGAS;0;0;0;1
2024-09-02;ARAPONGAS;0;0;0;1
2024-09-03;ARAPONGAS;0;0;0;1
2024-09-04;ARAPONGAS;0;0;0;1
2024-09-05;ARAPONGAS;0;0;0;1
2024-09-06;ARAPONGAS;0;0;0;1
2024-09-07;ARAPONGAS;0;0;0;1
2024-09-08;ARAPONGAS;0;0;0;1
2024-09-09;ARAPONGAS;0;0;0;1
2024-09-10;ARAPONGAS;0;0;0;1
2024-09-11;ARAPONGAS;0;0;0;1
2024-09-12;ARAPONGAS;0;0;0;1
2024-09-13;ARAPONGAS;0;0;0;1
2024-09-14;ARAPONGAS;0;0;0;1
2024-09-15;ARAPONGAS;0;0;0;1
2024-09-16;ARAPONGAS;0;0;0;1
2024-09-17;ARAPONGAS;0;0;0;1
2024-09-18;ARAPONGAS;0;0;0;1
2024-09-19;ARAPONGAS;0;0;0;1
2024-09-20;ARAPONGAS;0;0;0;1
2024-09-21;ARAPONGAS;0;0;0;1
2024-09-22;ARAPONGAS;0;0;0;1
2024-09-23;ARAPONGAS;0;0;0;1
2024-09-24;ARAPONGAS;0;0;0;1
2024-09-25;ARAPONGAS;0;0;0;1
2024-09-26;ARAPONGAS;0;0;0;1
2024-09-27;ARAPONGAS;0;0;0;1
2024-09-28;ARAPONGAS;0;0;0;1
2024-09-29;ARAPONGAS;0;0;0;1
2024-09-30;ARAPONGAS;0;0;0;1
2024-10-01;ARAPONGAS;0;0;0;1
2024-10-02;ARAPONGAS;0;0;0;1
2024-10-03;ARAPONGAS;0;0;0;1
2024-10-04;ARAPONGAS;0;0;0;1
2024-10-05;ARAPONGAS;0;0;0;1
2024-10-06;ARAPONGAS;0;0;0;1
2024-10-07;ARAPONGAS;0;0;0;1
2024-10-08;ARAPONGAS;0;0;0;1
2024-10-09;ARAPONGAS;0;0;0;1
2024-10-10;ARAPONGAS;0;0;0;1
2024-10-11;ARAPONGAS;0;0;0;1
2024-10-12;ARAPONGAS;0;0;0;1
2024-10-13;ARAPONGAS;0;0;0;1
2024-10-14;ARAPONGAS;0;0;0;1
2024-10-15;ARAPONGAS;0;0;0;1
2024-10-16;ARAPONGAS;0;0;0;1
2024-10-17;ARAPONGAS;0;0;0;1
2024-10-18;ARAPONGAS;0;0;0;1
2024-10-19;ARAPONGAS;0;0;0;1
2024-10-20;ARAPONGAS;0;0;0;1
2024-10-21;ARAPONGAS;0;0;0;1
2024-10-22;ARAPONGAS;0;0;0;1
2024-10-23;ARAPONGAS;0;0;0;1
2024-10-24;ARAPONGAS;0;0;0;1
2024-10-25;ARAPONGAS;0;0;0;1
2024-10-26;ARAPONGAS;0;0;0;1
2024-10-27;ARAPONGAS;0;0;0;1
2024-10-28;ARAPONGAS;0;0;0;1
2024-10-29;ARAPONGAS;0;0;0;1
2024-10-30;ARAPONGAS;0;0;0;1
2024-10-31;ARAPONGAS;0;0;0;1
