;Units;Epochs;Batch Size;Activation;Fitness
58;55;344;42;mish;-0.19166666666666668
59;55;344;42;mish;-0.19166666666666668
60;55;344;42;mish;-0.19166666666666668
61;55;344;42;mish;-0.19166666666666668
62;55;344;42;mish;-0.19166666666666668
63;55;344;42;mish;-0.19166666666666668
64;55;344;42;mish;-0.19166666666666668
65;55;344;42;mish;-0.19166666666666668
66;55;344;42;mish;-0.19166666666666668
67;55;344;42;mish;-0.19166666666666668
68;55;344;42;mish;-0.19166666666666668
69;55;344;42;mish;-0.19166666666666668
70;55;344;42;mish;-0.19166666666666668
71;55;344;42;mish;-0.19166666666666668
72;55;344;42;mish;-0.19166666666666668
73;55;344;42;mish;-0.19166666666666668
74;55;344;42;mish;-0.19166666666666668
75;55;344;42;mish;-0.19166666666666668
76;55;344;42;mish;-0.19166666666666668
77;55;344;42;mish;-0.19166666666666668
78;55;344;42;mish;-0.19166666666666668
79;55;344;42;mish;-0.19166666666666668
80;55;344;42;mish;-0.19166666666666668
81;55;344;42;mish;-0.19166666666666668
82;55;344;42;mish;-0.19166666666666668
83;55;344;42;mish;-0.19166666666666668
84;55;344;42;mish;-0.19166666666666668
85;55;344;42;mish;-0.19166666666666668
86;55;344;42;mish;-0.19166666666666668
87;55;344;42;mish;-0.19166666666666668
88;55;344;42;mish;-0.19166666666666668
89;55;344;42;mish;-0.19166666666666668
90;55;344;42;mish;-0.19166666666666668
91;55;344;42;mish;-0.19166666666666668
92;55;344;42;mish;-0.19166666666666668
93;55;344;42;mish;-0.19166666666666668
94;55;344;42;mish;-0.19166666666666668
95;55;344;42;mish;-0.19166666666666668
96;55;344;42;mish;-0.19166666666666668
97;55;344;42;mish;-0.19166666666666668
98;55;344;42;mish;-0.19166666666666668
99;55;344;42;mish;-0.19166666666666668
100;55;344;42;mish;-0.19166666666666668
101;55;344;42;mish;-0.19166666666666668
102;55;344;42;mish;-0.19166666666666668
103;55;344;42;mish;-0.19166666666666668
104;55;344;42;mish;-0.19166666666666668
105;55;344;42;mish;-0.19166666666666668
106;55;344;42;mish;-0.19166666666666668
107;55;344;42;mish;-0.19166666666666668
108;55;344;42;mish;-0.19166666666666668
109;55;344;42;mish;-0.19166666666666668
110;55;344;42;mish;-0.19166666666666668
111;55;344;42;mish;-0.19166666666666668
112;55;344;42;mish;-0.19166666666666668
113;55;344;42;mish;-0.19166666666666668
114;55;344;42;mish;-0.19166666666666668
115;13;264;175;linear;-0.2166666666666667
116;13;264;175;linear;-0.2166666666666667
117;13;264;175;linear;-0.2166666666666667
118;13;264;175;linear;-0.2166666666666667
119;13;264;175;linear;-0.2166666666666667
120;13;264;175;linear;-0.2166666666666667
121;13;264;175;linear;-0.2166666666666667
122;13;264;175;linear;-0.2166666666666667
123;13;264;175;linear;-0.2166666666666667
124;13;264;175;linear;-0.2166666666666667
125;13;264;175;linear;-0.2166666666666667
126;13;264;175;linear;-0.2166666666666667
127;13;264;175;linear;-0.2166666666666667
128;13;264;175;linear;-0.2166666666666667
129;13;264;175;linear;-0.2166666666666667
130;13;264;175;linear;-0.2166666666666667
131;13;264;175;linear;-0.2166666666666667
132;13;264;175;linear;-0.2166666666666667
133;13;264;175;linear;-0.2166666666666667
134;13;264;175;linear;-0.2166666666666667
135;13;264;175;linear;-0.2166666666666667
136;13;264;175;linear;-0.2166666666666667
137;13;264;175;linear;-0.2166666666666667
138;13;264;175;linear;-0.2166666666666667
139;13;264;175;linear;-0.2166666666666667
140;13;264;175;linear;-0.2166666666666667
141;13;264;175;linear;-0.2166666666666667
142;13;264;175;linear;-0.2166666666666667
143;13;264;175;linear;-0.2166666666666667
144;13;264;175;linear;-0.2166666666666667
145;13;264;175;linear;-0.2166666666666667
146;13;264;175;linear;-0.2166666666666667
147;13;264;175;linear;-0.2166666666666667
148;13;264;175;linear;-0.2166666666666667
149;13;264;175;linear;-0.2166666666666667
