;Units;Epochs;Batch Size;Activation;Fitness
150;211;73;250;sigmoid;0.3796694
151;211;73;250;sigmoid;0.3796694
152;211;73;250;sigmoid;0.3796694
153;211;73;250;sigmoid;0.3796694
154;211;73;250;sigmoid;0.3796694
155;211;73;250;sigmoid;0.3796694
156;211;73;250;sigmoid;0.3796694
157;211;73;250;sigmoid;0.3796694
158;211;73;250;sigmoid;0.3796694
159;211;73;250;sigmoid;0.3796694
160;211;73;250;sigmoid;0.3796694
161;211;73;250;sigmoid;0.3796694
162;211;73;250;sigmoid;0.3796694
163;211;73;250;sigmoid;0.3796694
164;211;73;250;sigmoid;0.3796694
165;211;73;250;sigmoid;0.3796694
166;211;73;250;sigmoid;0.3796694
167;211;73;250;sigmoid;0.3796694
168;211;73;250;sigmoid;0.3796694
169;211;73;250;sigmoid;0.3796694
170;211;73;250;sigmoid;0.3796694
171;211;73;250;sigmoid;0.3796694
172;211;73;250;sigmoid;0.3796694
173;211;73;250;sigmoid;0.3796694
174;211;73;250;sigmoid;0.3796694
175;211;73;250;sigmoid;0.3796694
176;211;73;250;sigmoid;0.3796694
177;211;73;250;sigmoid;0.3796694
178;211;73;250;sigmoid;0.3796694
179;211;73;250;sigmoid;0.3796694
180;211;73;250;sigmoid;0.3796694
181;211;73;250;sigmoid;0.3796694
182;211;73;250;sigmoid;0.3796694
183;211;73;250;sigmoid;0.3796694
184;211;73;250;sigmoid;0.3796694
185;211;73;250;sigmoid;0.3796694
186;211;73;250;sigmoid;0.3796694
187;211;73;250;sigmoid;0.3796694
188;211;73;250;sigmoid;0.3796694
189;211;73;250;sigmoid;0.3796694
190;211;73;250;sigmoid;0.3796694
191;211;73;250;sigmoid;0.3796694
192;211;73;250;sigmoid;0.3796694
193;211;73;250;sigmoid;0.3796694
194;211;73;250;sigmoid;0.3796694
195;211;73;250;sigmoid;0.3796694
196;211;73;250;sigmoid;0.3796694
197;211;73;250;sigmoid;0.3796694
198;211;73;250;sigmoid;0.3796694
199;211;73;250;sigmoid;0.3796694
200;211;73;250;sigmoid;0.3796694
201;211;73;250;sigmoid;0.3796694
202;211;73;250;sigmoid;0.3796694
203;211;73;250;sigmoid;0.3796694
204;211;73;250;sigmoid;0.3796694
205;211;73;250;sigmoid;0.3796694
206;211;73;250;sigmoid;0.3796694
207;211;73;250;sigmoid;0.3796694
208;211;73;250;sigmoid;0.3796694
209;211;73;250;sigmoid;0.3796694
210;211;73;250;sigmoid;0.3796694
211;211;73;250;sigmoid;0.3796694
212;211;73;250;sigmoid;0.3796694
213;211;73;250;sigmoid;0.3796694
214;211;73;250;sigmoid;0.3796694
215;211;73;250;sigmoid;0.3796694
216;211;73;250;sigmoid;0.3796694
217;211;73;250;sigmoid;0.3796694
218;211;73;250;sigmoid;0.3796694
219;211;73;250;sigmoid;0.3796694
220;211;73;250;sigmoid;0.3796694
221;211;73;250;sigmoid;0.3796694
222;211;73;250;sigmoid;0.3796694
223;211;73;250;sigmoid;0.3796694
224;211;73;250;sigmoid;0.3796694
225;211;73;250;sigmoid;0.3796694
