;OTIMIZADOR;MODELO;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
1385;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1386;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1387;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1388;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1389;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1390;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1391;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1392;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1393;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1394;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1395;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1396;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1397;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1398;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1399;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1400;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1401;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1402;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1403;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1404;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1405;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1406;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1407;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1408;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1409;PSO;RF;7000;63.0;236.0;15.0;5.0;0.276
1410;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1411;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1412;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1413;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1414;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1415;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1416;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1417;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1418;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1419;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1420;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1421;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1422;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1423;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1424;PSO;RF;7000;53.0;231.0;17.0;4.0;0.275
1425;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1426;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1427;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1428;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1429;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1430;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1431;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1432;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1433;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1434;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1435;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1436;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1437;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1438;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1439;PSO;RF;7000;66.0;230.0;16.0;3.0;0.273
1440;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1441;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1442;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1443;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1444;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1445;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1446;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1447;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1448;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1449;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1450;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1451;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1452;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1453;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1454;PSO;RF;7000;57.0;231.0;10.0;4.0;0.264
1455;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1456;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1457;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1458;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1459;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1460;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1461;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1462;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1463;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1464;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1465;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1466;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1467;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1468;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1469;PSO;RF;7000;56.0;231.0;8.0;4.0;0.262
1470;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1471;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1472;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1473;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1474;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1475;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1476;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1477;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1478;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1479;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1480;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1481;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1482;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1483;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1484;PSO;RF;7000;46.0;229.0;10.0;4.0;0.26
1485;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1486;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1487;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1488;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1489;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1490;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1491;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1492;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1493;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1494;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1495;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1496;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1497;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1498;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1499;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1500;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1501;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1502;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1503;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1504;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1505;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1506;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1507;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1508;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1509;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1510;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1511;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1512;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1513;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1514;PSO;RF;7000;46.0;230.0;8.0;4.0;0.257
1515;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1516;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1517;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1518;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1519;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1520;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1521;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1522;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1523;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1524;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1525;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1526;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1527;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1528;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1529;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1530;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1531;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1532;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1533;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1534;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1535;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1536;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1537;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1538;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1539;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1540;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1541;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1542;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1543;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1544;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1545;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1546;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1547;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1548;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1549;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1550;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1551;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1552;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1553;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1554;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1555;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1556;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1557;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1558;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1559;PSO;RF;7000;45.0;230.0;8.0;4.0;0.256
1560;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1561;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1562;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1563;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1564;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1565;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1566;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1567;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1568;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1569;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1570;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1571;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1572;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1573;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
1574;PSO;RF;7000;15.0;232.0;11.0;4.0;0.247
