;OTIMIZADOR;MODELO;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
814;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
815;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
816;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
817;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
818;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
819;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
820;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
821;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
822;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
823;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
824;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
825;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
826;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
827;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
828;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
829;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
830;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
831;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
832;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
833;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
834;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
835;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
836;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
837;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
838;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
839;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
840;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
841;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
842;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
843;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
844;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
845;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
846;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
847;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
848;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
849;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
850;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
851;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
852;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
853;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
854;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
855;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
856;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
857;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
858;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
859;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
860;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
861;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
862;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
863;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
864;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
865;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
866;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
867;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
868;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
869;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
870;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
871;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
872;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
873;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
874;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
875;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
876;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
877;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
878;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
879;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
880;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
881;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
882;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
883;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
884;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
885;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
886;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
887;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
888;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
889;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
890;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
891;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
892;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
893;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
894;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
895;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
896;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
897;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
898;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
899;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
900;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
901;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
902;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
903;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
