;Reservoirs;Sparsity;Spectral Radius;Noise;Fitness
156;248.0;0.676;0.607;0.106;0.31205849989286594
157;248.0;0.676;0.607;0.106;0.31205849989286594
158;248.0;0.676;0.607;0.106;0.31205849989286594
159;248.0;0.676;0.607;0.106;0.31205849989286594
160;248.0;0.676;0.607;0.106;0.31205849989286594
161;248.0;0.676;0.607;0.106;0.31205849989286594
162;248.0;0.676;0.607;0.106;0.31205849989286594
163;248.0;0.676;0.607;0.106;0.31205849989286594
164;248.0;0.676;0.607;0.106;0.31205849989286594
165;248.0;0.676;0.607;0.106;0.31205849989286594
166;248.0;0.676;0.607;0.106;0.31205849989286594
167;248.0;0.676;0.607;0.106;0.31205849989286594
168;248.0;0.676;0.607;0.106;0.31205849989286594
169;248.0;0.676;0.607;0.106;0.31205849989286594
170;248.0;0.676;0.607;0.106;0.31205849989286594
171;248.0;0.676;0.607;0.106;0.31205849989286594
172;248.0;0.676;0.607;0.106;0.31205849989286594
173;248.0;0.676;0.607;0.106;0.31205849989286594
174;248.0;0.676;0.607;0.106;0.31205849989286594
175;248.0;0.676;0.607;0.106;0.31205849989286594
176;248.0;0.676;0.607;0.106;0.31205849989286594
177;248.0;0.676;0.607;0.106;0.31205849989286594
178;248.0;0.676;0.607;0.106;0.31205849989286594
179;248.0;0.676;0.607;0.106;0.31205849989286594
180;248.0;0.676;0.607;0.106;0.31205849989286594
181;248.0;0.676;0.607;0.106;0.31205849989286594
182;248.0;0.676;0.607;0.106;0.31205849989286594
183;248.0;0.676;0.607;0.106;0.31205849989286594
184;248.0;0.676;0.607;0.106;0.31205849989286594
185;248.0;0.676;0.607;0.106;0.31205849989286594
186;248.0;0.676;0.607;0.106;0.31205849989286594
187;248.0;0.676;0.607;0.106;0.31205849989286594
188;248.0;0.676;0.607;0.106;0.31205849989286594
189;248.0;0.676;0.607;0.106;0.31205849989286594
190;248.0;0.676;0.607;0.106;0.31205849989286594
191;248.0;0.676;0.607;0.106;0.31205849989286594
192;248.0;0.676;0.607;0.106;0.31205849989286594
193;248.0;0.676;0.607;0.106;0.31205849989286594
194;248.0;0.676;0.607;0.106;0.31205849989286594
195;248.0;0.676;0.607;0.106;0.31205849989286594
196;248.0;0.676;0.607;0.106;0.31205849989286594
197;248.0;0.676;0.607;0.106;0.31205849989286594
198;248.0;0.676;0.607;0.106;0.31205849989286594
199;248.0;0.676;0.607;0.106;0.31205849989286594
200;248.0;0.676;0.607;0.106;0.31205849989286594
201;248.0;0.676;0.607;0.106;0.31205849989286594
202;248.0;0.676;0.607;0.106;0.31205849989286594
203;248.0;0.676;0.607;0.106;0.31205849989286594
204;248.0;0.676;0.607;0.106;0.31205849989286594
205;248.0;0.676;0.607;0.106;0.31205849989286594
206;248.0;0.676;0.607;0.106;0.31205849989286594
207;248.0;0.676;0.607;0.106;0.31205849989286594
208;248.0;0.676;0.607;0.106;0.31205849989286594
209;248.0;0.676;0.607;0.106;0.31205849989286594
210;248.0;0.676;0.607;0.106;0.31205849989286594
211;248.0;0.676;0.607;0.106;0.31205849989286594
212;248.0;0.676;0.607;0.106;0.31205849989286594
213;248.0;0.676;0.607;0.106;0.31205849989286594
214;248.0;0.676;0.607;0.106;0.31205849989286594
215;248.0;0.676;0.607;0.106;0.31205849989286594
216;248.0;0.676;0.607;0.106;0.31205849989286594
217;248.0;0.676;0.607;0.106;0.31205849989286594
218;248.0;0.676;0.607;0.106;0.31205849989286594
219;248.0;0.676;0.607;0.106;0.31205849989286594
220;248.0;0.676;0.607;0.106;0.31205849989286594
221;248.0;0.676;0.607;0.106;0.31205849989286594
222;248.0;0.676;0.607;0.106;0.31205849989286594
223;248.0;0.676;0.607;0.106;0.31205849989286594
224;248.0;0.676;0.607;0.106;0.31205849989286594
225;248.0;0.676;0.607;0.106;0.31205849989286594
