;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
121;21.0;320.0;3.0;2.0;-0.2416666666666667
122;21.0;320.0;3.0;2.0;-0.2416666666666667
123;21.0;320.0;3.0;2.0;-0.2416666666666667
124;21.0;320.0;3.0;2.0;-0.2416666666666667
125;21.0;320.0;3.0;2.0;-0.2416666666666667
126;21.0;320.0;3.0;2.0;-0.2416666666666667
127;21.0;320.0;3.0;2.0;-0.2416666666666667
128;21.0;320.0;3.0;2.0;-0.2416666666666667
129;21.0;320.0;3.0;2.0;-0.2416666666666667
130;21.0;320.0;3.0;2.0;-0.2416666666666667
131;21.0;320.0;3.0;2.0;-0.2416666666666667
132;21.0;320.0;3.0;2.0;-0.2416666666666667
133;21.0;320.0;3.0;2.0;-0.2416666666666667
134;21.0;320.0;3.0;2.0;-0.2416666666666667
135;21.0;320.0;3.0;2.0;-0.2416666666666667
136;21.0;320.0;3.0;2.0;-0.2416666666666667
137;21.0;320.0;3.0;2.0;-0.2416666666666667
138;21.0;320.0;3.0;2.0;-0.2416666666666667
139;21.0;320.0;3.0;2.0;-0.2416666666666667
140;21.0;320.0;3.0;2.0;-0.2416666666666667
141;21.0;320.0;3.0;2.0;-0.2416666666666667
142;21.0;320.0;3.0;2.0;-0.2416666666666667
143;21.0;320.0;3.0;2.0;-0.2416666666666667
144;21.0;320.0;3.0;2.0;-0.2416666666666667
145;21.0;320.0;3.0;2.0;-0.2416666666666667
146;21.0;320.0;3.0;2.0;-0.2416666666666667
147;21.0;320.0;3.0;2.0;-0.2416666666666667
148;21.0;320.0;3.0;2.0;-0.2416666666666667
149;21.0;320.0;3.0;2.0;-0.2416666666666667
150;21.0;320.0;3.0;2.0;-0.2416666666666667
151;21.0;320.0;3.0;2.0;-0.2416666666666667
152;21.0;320.0;3.0;2.0;-0.2416666666666667
153;21.0;320.0;3.0;2.0;-0.2416666666666667
154;21.0;320.0;3.0;2.0;-0.2416666666666667
155;21.0;320.0;3.0;2.0;-0.2416666666666667
156;21.0;320.0;3.0;2.0;-0.2416666666666667
157;21.0;320.0;3.0;2.0;-0.2416666666666667
158;21.0;320.0;3.0;2.0;-0.2416666666666667
159;21.0;320.0;3.0;2.0;-0.2416666666666667
160;21.0;320.0;3.0;2.0;-0.2416666666666667
161;21.0;320.0;3.0;2.0;-0.2416666666666667
162;21.0;320.0;3.0;2.0;-0.2416666666666667
163;21.0;320.0;3.0;2.0;-0.2416666666666667
164;21.0;320.0;3.0;2.0;-0.2416666666666667
165;21.0;320.0;3.0;2.0;-0.2416666666666667
166;21.0;320.0;3.0;2.0;-0.2416666666666667
167;21.0;320.0;3.0;2.0;-0.2416666666666667
168;21.0;320.0;3.0;2.0;-0.2416666666666667
169;21.0;320.0;3.0;2.0;-0.2416666666666667
170;21.0;320.0;3.0;2.0;-0.2416666666666667
171;21.0;320.0;3.0;2.0;-0.2416666666666667
172;21.0;320.0;3.0;2.0;-0.2416666666666667
173;21.0;320.0;3.0;2.0;-0.2416666666666667
174;21.0;320.0;3.0;2.0;-0.2416666666666667
175;21.0;320.0;3.0;2.0;-0.2416666666666667
176;21.0;320.0;3.0;2.0;-0.2416666666666667
177;21.0;320.0;3.0;2.0;-0.2416666666666667
178;21.0;320.0;3.0;2.0;-0.2416666666666667
179;21.0;320.0;3.0;2.0;-0.2416666666666667
180;21.0;320.0;3.0;2.0;-0.2416666666666667
