;Units;Epochs;Batch Size;Activation;Fitness
197;231;273;27;sigmoid;0.36020103
198;231;273;27;sigmoid;0.36020103
199;231;273;27;sigmoid;0.36020103
200;231;273;27;sigmoid;0.36020103
201;231;273;27;sigmoid;0.36020103
202;231;273;27;sigmoid;0.36020103
203;231;273;27;sigmoid;0.36020103
204;231;273;27;sigmoid;0.36020103
205;231;273;27;sigmoid;0.36020103
206;231;273;27;sigmoid;0.36020103
207;231;273;27;sigmoid;0.36020103
208;231;273;27;sigmoid;0.36020103
209;231;273;27;sigmoid;0.36020103
210;231;273;27;sigmoid;0.36020103
211;231;273;27;sigmoid;0.36020103
212;231;273;27;sigmoid;0.36020103
213;231;273;27;sigmoid;0.36020103
214;231;273;27;sigmoid;0.36020103
215;231;273;27;sigmoid;0.36020103
216;231;273;27;sigmoid;0.36020103
217;231;273;27;sigmoid;0.36020103
218;231;273;27;sigmoid;0.36020103
219;231;273;27;sigmoid;0.36020103
220;231;273;27;sigmoid;0.36020103
221;231;273;27;sigmoid;0.36020103
222;231;273;27;sigmoid;0.36020103
223;231;273;27;sigmoid;0.36020103
224;231;273;27;sigmoid;0.36020103
225;231;273;27;sigmoid;0.36020103
