;OTIMIZADOR;MODELO;CLASSES;SEED;Hidden Layers;Alpha;Activation;Fitness
415;PSO;MLP;3;2000;313;0.278;relu;-0.675
416;PSO;MLP;3;2000;313;0.278;relu;-0.675
417;PSO;MLP;3;2000;313;0.278;relu;-0.675
418;PSO;MLP;3;2000;313;0.278;relu;-0.675
419;PSO;MLP;3;2000;313;0.278;relu;-0.675
420;PSO;MLP;3;2000;313;0.278;relu;-0.675
421;PSO;MLP;3;2000;313;0.278;relu;-0.675
422;PSO;MLP;3;2000;313;0.278;relu;-0.675
423;PSO;MLP;3;2000;313;0.278;relu;-0.675
424;PSO;MLP;3;2000;313;0.278;relu;-0.675
425;PSO;MLP;3;2000;313;0.278;relu;-0.675
426;PSO;MLP;3;2000;313;0.278;relu;-0.675
427;PSO;MLP;3;2000;313;0.278;relu;-0.675
428;PSO;MLP;3;2000;313;0.278;relu;-0.675
429;PSO;MLP;3;2000;313;0.278;relu;-0.675
430;PSO;MLP;3;2000;313;0.278;relu;-0.675
431;PSO;MLP;3;2000;313;0.278;relu;-0.675
432;PSO;MLP;3;2000;313;0.278;relu;-0.675
433;PSO;MLP;3;2000;313;0.278;relu;-0.675
434;PSO;MLP;3;2000;313;0.278;relu;-0.675
435;PSO;MLP;3;2000;313;0.278;relu;-0.675
436;PSO;MLP;3;2000;313;0.278;relu;-0.675
437;PSO;MLP;3;2000;313;0.278;relu;-0.675
438;PSO;MLP;3;2000;313;0.278;relu;-0.675
439;PSO;MLP;3;2000;313;0.278;relu;-0.675
440;PSO;MLP;3;2000;313;0.278;relu;-0.675
441;PSO;MLP;3;2000;313;0.278;relu;-0.675
442;PSO;MLP;3;2000;313;0.278;relu;-0.675
443;PSO;MLP;3;2000;313;0.278;relu;-0.675
444;PSO;MLP;3;2000;313;0.278;relu;-0.675
445;PSO;MLP;3;2000;313;0.278;relu;-0.675
446;PSO;MLP;3;2000;313;0.278;relu;-0.675
447;PSO;MLP;3;2000;313;0.278;relu;-0.675
448;PSO;MLP;3;2000;313;0.278;relu;-0.675
449;PSO;MLP;3;2000;313;0.278;relu;-0.675
