;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
2183;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2184;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2185;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2186;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2187;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2188;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2189;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2190;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2191;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2192;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2193;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2194;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2195;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2196;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2197;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2198;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2199;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2200;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2201;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2202;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2203;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2204;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2205;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2206;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2207;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2208;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2209;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2210;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2211;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2212;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2213;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2214;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2215;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2216;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2217;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2218;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2219;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2220;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2221;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2222;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2223;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2224;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2225;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2226;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2227;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2228;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2229;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2230;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2231;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2232;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2233;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2234;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2235;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2236;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2237;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2238;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2239;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2240;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2241;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2242;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2243;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2244;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2245;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2246;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2247;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2248;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2249;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
